,Disease,Symptom
46,tricuspid valve insufficiency,"['shortness of breath', 'pain', 'vomiting', 'nausea', 'bradycardia', 'pain abdominal', 'fever', 'cicatrisation', 'mediastinal shift', 'impaired cognition']"
47,hernia hiatal,"['pain abdominal', 'fatigability', 'prodrome', 'vomiting', 'nausea', 'myalgia', 'hyponatremia', 'sore to touch', 'general discomfort', 'dyspnea on exertion', 'asterixis', 'guaiac positive', 'numbness of hand', 'headache', 'photophobia']"
48,overload fluid,"['rale', 'jugular venous distention', 'hyperkalemia', 'orthopnea', 'shortness of breath', 'drowsiness', 'sleepy', 'weight gain', 'hypokalemia', 'hypotension', 'swelling', 'distended abdomen']"
49,bronchitis,"['cough', 'wheezing', 'shortness of breath', 'chest tightness', 'fever', 'throat sore', 'productive cough', 'hepatosplenomegaly', 'night sweat', 'haemoptysis', 'labored breathing', 'snuffle', 'hacking cough', 'dyspnea', 'chill', 'stridor', 'decreased body weight']"
50,depressive disorder,"['feeling suicidal', 'suicidal', 'hallucinations auditory', 'feeling hopeless', 'weepiness', 'sleeplessness', 'motor retardation', 'irritable mood', 'blackout', 'mood depressed', 'hallucinations visual', 'worry', 'agitation', 'tremor', 'intoxication', 'verbal auditory hallucinations', 'energy increased', 'difficulty', 'nightmare', 'unable to concentrate', 'homelessness']"
51,peripheral vascular disease,"['shortness of breath', 'rest pain', 'angina pectoris', 'unresponsiveness', 'hyperkalemia', 'sinus rhythm', 'labored breathing', 'dyspnea', 'sore to touch', 'anorexia', 'sleepy']"
52,bacteremia,"['fever', 'chill', 'flushing', 'unresponsiveness', 'indifferent mood', 'urinoma', 'vomiting', 'distended abdomen', 'hypoalbuminemia', 'pustule', 'prostatism', 'diarrhea', 'abdominal tenderness', 'pleuritic pain', 'decreased translucency', 'pallor']"
53,malignant tumor of colon,"['lesion', 'prostatism', 'constipation', 'general discomfort', 'diarrhea', 'pain abdominal', 'urinary hesitation', 'dizzy spells', 'shooting pain', 'bradycardia', 'vomiting', 'systolic ejection murmur', 'nausea', 'hyperemesis', 'polydypsia']"
54,anemia,"['chill', 'guaiac positive', 'monoclonal', 'ecchymosis', 'tumor cell invasion', 'haemorrhage', 'pallor', 'asthenia', 'fatigue', 'heme positive', 'pain back', 'orthostasis', 'hyponatremia', 'dizziness', 'shortness of breath', 'pain', 'rhonchus', 'arthralgia', 'swelling', 'transaminitis']"
55,candidiasis,"['diarrhea', 'throat sore', 'decreased body weight', 'chill', 'headache', 'abdominal tenderness', 'patient non compliance', 'photophobia', 'night sweat', 'painful swallowing', 'poor dentition', 'transaminitis', 'non-productive cough', 'adverse reaction', 'adverse effect', 'abdominal bloating']"
56,thrombus,"['hypokinesia', 'anorexia', 'hypertonicity', 'shortness of breath', 'hypoalbuminemia', 'pruritus', 'sore to touch', 'hemodynamically stable', 'facial paresis', 'vomiting', 'stool color yellow']"
57,cellulitis,"['erythema', 'pain', 'swelling', 'redness', 'fever', 'abscess bacterial', 'patient non compliance', 'hypesthesia', 'hyperacusis', 'pruritus', 'pain chest', 'scratch marks', 'chill', 'sore to touch']"
58,kidney failure acute,"['hyperkalemia', 'hypotension', 'hypocalcemia result', 'oliguria', 'hemodynamically stable', 'asthenia', 'hypothermia, natural', 'diarrhea', 'haemorrhage', 'unresponsiveness']"
59,dehydration,"['fever', 'diarrhea', 'vomiting', 'hypotension', 'nausea', 'lightheadedness', 'unwell', 'mental status changes', 'anorexia', 'asthenia', 'sensory discomfort', 'syncope', 'lethargy', 'dizziness', 'syncope', 'blackout', 'history of - blackout']"
60,malignant neoplasm of prostate,"['hematuria', 'dysesthesia', 'asthenia', 'polymyalgia', 'passed stones', 'pleuritic pain', 'guaiac positive', 'rale', 'breath sounds decreased', 'urge incontinence', 'dysuria', 'diarrhea', 'vertigo', 'qt interval prolonged', 'ataxia', 'paresis', 'hemianopsia homonymous', 'tumor cell invasion', 'hemodynamically stable', 'mass of body structure', 'rhonchus', 'orthostasis', 'decreased body weight']"
61,cirrhosis,"['ascites', 'fall', 'splenomegaly', 'pruritus', 'pain abdominal', 'tumor cell invasion', 'distended abdomen', 'lesion', 'hemodynamically stable', 'guaiac positive', 'sore to touch', 'bleeding of vagina']"
62,neuropathy,"['asthenia', 'numbness', 'nausea and vomiting', 'awakening early', 'hydropneumothorax', 'superimposition', 'fatigability', 'tenesmus', 'pain', 'slowing of urinary stream']"
63,gastroesophageal reflux disease,"['pain', 'pain chest', 'burning sensation', 'hyponatremia', 'satiety early', 'throbbing sensation quality', 'chest tightness', 'sensory discomfort', 'presence of q wave', 'nausea', 'general discomfort', 'constipation', 'palpitation', 'pain abdominal', 'heartburn', 'sweat', 'sweating increased', 'asthenia']"
64,migraine disorders,"['ambidexterity', 'vomiting', 'dizziness', 'numbness', 'nausea', 'fever', 'splenomegaly']"
65,osteomyelitis,"['pain', 'redness', 'prostate tender', 'fever', 'difficulty passing urine', 'sore to touch', 'swelling', 'apyrexial', 'erythema', 'abscess bacterial', 'pain foot', 'urinary hesitation']"
66,failure heart,"['orthopnea', 'fatigue', 'dyspnea on exertion', 'dyspnea', 'shortness of breath', 'pansystolic murmur', 'jugular venous distention', 'systolic ejection murmur', 'hypotension', 'angina pectoris', 'hypokinesia']"
67,adenocarcinoma,"['mass of body structure', 'lesion', 'decreased body weight', 'constipation', 'fremitus', 'decreased stool caliber', 'satiety early', 'hematochezia', 'egophony', 'pain', 'cicatrisation', 'scar tissue', 'pain abdominal']"
68,diverticulosis,"['fecaluria', 'constipation', 'abscess bacterial', 'heme positive', 'lightheadedness', 'diarrhea', 'haemorrhage', 'pain', 'projectile vomiting', 'pneumatouria', 'cystic lesion', 'anorexia', 'nausea', 'feeling suicidal', 'feeling hopeless']"
69,gout,"['hot flush', 'pain', 'redness', 'swelling', 'erythema', 'emphysematous change', 'sore to touch', 'hypokinesia', 'ascites', 'patient non compliance']"
70,lymphoma,"['lesion', 'fever', 'welt', 'transaminitis', 'decreased body weight', 'ataxia', 'tinnitus', 'hydropneumothorax', 'superimposition', 'haemoptysis', 'fatigue', 'tired', 'polydypsia', 'difficulty passing urine']"
71,arthritis,"['pain', 'hemodynamically stable', 'sleeplessness', 'asthenia', 'syncope', 'swelling', 'atypia', 'general unsteadiness', 'shortness of breath', 'distended abdomen']"
72,diverticulitis,"['pain abdominal', 'abscess bacterial', 'dullness', 'red blotches', 'diarrhea', 'sore to touch', 'dysuria', 'pain', 'vomiting', 'sinus rhythm', 'colic abdominal', 'apyrexial', 'abdominal tenderness', 'fever', 'unsteady gait', 'thicken', 'urgency of\xa0micturition', 'anorexia', 'monoclonal', 'constipation']"
73,neoplasm,"['mass of body structure', 'lesion', 'pain chest', 'hematuria', 'tumor cell invasion', 'pain', 'anosmia', 'thicken', 'metastatic lesion', 'food intolerance', 'decreased body weight', 'night sweat', 'hemianopsia homonymous', 'satiety early', 'pain abdominal', 'headache']"
74,Pneumocystis carinii pneumonia,"['yellow sputum', 'cachexia', 'chill', 'decreased body weight', 'productive cough', 'myalgia', 'diarrhea', 'neck stiffness', 'hacking cough', 'dyspareunia', 'hypokalemia', 'dyspnea on exertion', 'poor dentition', 'transaminitis', 'non-productive cough', 'headache', 'floppy', 'spontaneous rupture of membranes']"
75,adhesion,"['flatulence', 'pain', 'large-for-dates fetus', 'para 1', 'vomiting', 'lung nodule', 'breech presentation', 'shortness of breath', 'decreased body weight', 'immobile', 'unsteady gait', 'hallucinations visual', 'feeling suicidal']"
76,hypothyroidism,"['shortness of breath', 'prostatism', 'drowsiness', 'sleepy', 'hyponatremia', 'fall', 'unsteady gait', 'polyuria', 'hypotension', 'difficulty', 'syncope', 'nightmare', 'speech slurred', 'weight gain', 'asthenia', 'fatigue', 'tired', 'agitation', 'mental status changes', 'motor retardation', 'vomiting', 'numbness', 'mass of body structure']"
77,hernia,"['pain abdominal', 'pain', 'hyperventilation', 'excruciating pain', 'gag', 'nausea', 'posturing', 'hemiplegia', 'sore to touch', 'haemorrhage', 'apyrexial', 'food intolerance', 'pulse absent', 'asthenia', 'mass of body structure', 'thicken']"
78,kidney disease,"['shortness of breath', 'hyperkalemia', 'pain chest', 'fever', 'gravida 0', 'bleeding of vagina']"
79,carcinoma breast,"['mass in breast', 'mass of body structure', 'paresthesia', 'retropulsion', 'erythema', 'difficulty', 'lesion', 'estrogen use', 'burning sensation', 'dyspnea', 'swelling', 'formication']"
80,hypertension pulmonary,"['shortness of breath', ""Stahli's line"", 'heavy legs', 'breath sounds decreased', 'neck stiffness', 'dyspnea on exertion', 'cyanosis', 'hypotension', 'left\xa0atrial\xa0hypertrophy']"
81,hepatitis B,"['inappropriate affect', 'tachypnea', 'yellow sputum', 'projectile vomiting', 'poor feeding', 'pain abdominal', 'abdominal tenderness', 'wheelchair bound', 'moan']"
82,edema pulmonary,"['urgency of\xa0micturition', 'shortness of breath', 'rale', 'tachypnea', 'orthopnea', ""Heberden's node"", 'jugular venous distention', 'dyspnea', 'sweat', 'sweating increased', 'patient non compliance', 'chest discomfort', 'hyperkalemia', 'sinus rhythm', 'pain chest', 'hypotension', 'wheezing']"
83,pericardial effusion body substance,"['pericardial friction rub', 'dyspnea', 'shortness of breath', 'hemodynamically stable', 'cardiomegaly', 'hypotension', 'sputum purulent', 'facial paresis', 'pain', 'oliguria', 'blackout', 'intoxication']"
84,schizophrenia,"['hallucinations auditory', 'hypersomnolence', 'irritable mood', 'verbal auditory hallucinations', 'patient non compliance', 'agitation', 'suicidal', 'worry', 'hallucinations visual', 'underweight', 'underweight', 'homelessness']"
85,primary carcinoma of the liver cells,"['mass of body structure', 'splenomegaly', 'lesion', 'paresis', 'tumor cell invasion', 'room spinning', 'haemorrhage', 'thicken', 'indifferent mood', 'cachexia', 'hypothermia, natural', 'pain abdominal', 'hepatomegaly', 'hematocrit decreased', 'stupor', 'decreased body weight', 'shortness of breath', 'cough']"
86,hepatitis,"['ascites', 'spontaneous rupture of membranes', 'tachypnea', 'pain abdominal', 'pruritus', 'anorexia', 'transaminitis', 'projectile vomiting', 'chill', 'distress respiratory', 'fever', 'vomiting']"
87,coronary arteriosclerosis,"['pain chest', 'angina pectoris', 'shortness of breath', 'hypokinesia', 'sweat', 'sweating increased', 'pressure chest', 'dyspnea on exertion', 'orthopnea', 'chest tightness']"
88,malignant neoplasm of lung,"['lesion', 'cough', 'lung nodule', 'shortness of breath', 'haemoptysis', 'debilitation', 'gurgle', 'ache', 'rale', 'night sweat', 'decreased translucency', 'asthenia', 'metastatic lesion', 'agitation', 'irritable mood']"
89,colitis,"['fever', 'thicken', 'green sputum', 'vomiting', 'nausea and vomiting', 'awakening early', 'pain', 'nausea', 'chill', 'tenesmus', 'urge incontinence', 'pain abdominal', 'hemodynamically stable']"
90,deep vein thrombosis,"['swelling', 'pain', 'ecchymosis', 'shortness of breath', 'pain in lower limb', 'cardiomegaly', 'rale', 'erythema', 'hypotension', 'clonus', 'non-productive cough', 'redness']"
91,melanoma,"['mass of body structure', 'paraparesis', 'fever', 'gravida 0', 'pain', 'pruritus', 'mass in breast', 'vomiting', 'diarrhea']"
92,oralcandidiasis,"['diarrhea', 'throat sore', 'decreased body weight', 'chill', 'headache', 'abdominal tenderness', 'patient non compliance', 'photophobia', 'night sweat', 'painful swallowing', 'poor dentition', 'transaminitis', 'non-productive cough', 'adverse reaction', 'adverse effect', 'abdominal bloating']"
93,ileus,"['abscess bacterial', 'abdomen acute', 'air fluid level', 'catching breath', 'abdominal tenderness', 'nausea', 'sore to touch', 'flatulence', 'diarrhea', 'mass of body structure', 'apyrexial', 'constipation', 'thicken', 'gravida 0', 'pain abdominal']"
94,delirium,"['unsteady gait', 'withdraw', 'hyponatremia', 'verbally abusive behavior', 'feeling suicidal', 'unresponsiveness', 'worry', 'drowsiness', 'sleepy', 'hallucinations auditory', 'suicidal', 'fever', 'diarrhea']"
95,influenza,"['uncoordination', 'fever', 'pleuritic pain', 'snuffle', 'throat sore', 'malaise', 'debilitation', 'symptom aggravating factors', 'chill', 'scleral\xa0icterus', 'nasal flaring', 'dysuria', 'lip smacking', 'headache', 'sneeze', 'snore', 'green sputum', 'shortness of breath', 'distress respiratory', 'blackout', 'extreme exhaustion']"
96,parkinson disease,"['achalasia', 'fall', 'stiffness', 'withdraw', 'agitation', 'hemiplegia', 'difficulty', 'unresponsiveness', 'syncope', 'facial paresis', 'orthostasis', 'worry', 'drowsiness', 'sleepy', 'hematuria', 'tremor', 'night sweat', 'mass of body structure']"
97,carcinoma,"['mass of body structure', 'pain', 'lesion', 'tumor cell invasion', 'thicken', 'decreased body weight', 'hoarseness', 'general discomfort', 'metastatic lesion', 'non-productive cough', 'constipation', 'unhappy', 'paresthesia', 'gravida 0', 'diarrhea', 'sore to touch', 'heartburn', 'nausea', 'lung nodule']"
98,biliary calculus,"['vomiting', 'nausea', 'pain abdominal', 'pain', 'cushingoid facies', 'cushingoid\xa0habitus', 'ascites', 'thicken', 'sore to touch', 'diarrhea', 'apyrexial', 'palpitation']"
99,dementia,"['fever', 'fall', 'unresponsiveness', 'lethargy', 'agitation', 'ecchymosis', 'syncope', 'rale', 'unconscious state', 'cough', 'bedridden', 'bedridden', 'pain', 'facial paresis', 'abdominal tenderness', 'rhonchus', 'unsteady gait', 'hallucinations auditory']"
100,infection,"['fever', 'erythema', 'decreased translucency', 'hepatosplenomegaly', 'chill', 'pruritus', 'diarrhea', 'abscess bacterial', 'swelling', 'pain', 'apyrexial', 'cough']"
101,encephalopathy,"['uncoordination', 'asterixis', 'haemorrhage', 'drowsiness', 'sleepy', 'absences finding', 'posturing', 'aura', 'tonic seizures', 'debilitation', 'consciousness clear', 'unresponsiveness', 'thicken', 'hypokinesia']"
102,cardiomyopathy,"['shortness of breath', 'orthopnea', 'hypokinesia', 'jugular venous distention', 'palpitation', 'pain chest', 'syncope', 'yellow sputum', 'rale', 'dyspnea', 'dyspnea on exertion', 'left\xa0atrial\xa0hypertrophy', 'fatigue', 'weight gain', 'patient non compliance']"
103,infection urinary tract,"['fever', 'dysuria', 'hematuria', 'renal angle tenderness', 'lethargy', 'asthenia', 'hyponatremia', 'hemodynamically stable', 'distress respiratory', 'difficulty passing urine', 'mental status changes', 'consciousness clear']"
104,coronary heart disease,"['pain chest', 'angina pectoris', 'shortness of breath', 'hypokinesia', 'sweat', 'sweating increased', 'pressure chest', 'dyspnea on exertion', 'orthopnea', 'chest tightness']"
105,degenerative polyarthritis,"['pain', 'food intolerance', 'numbness of hand', 'general discomfort', 'drowsiness', 'asthenia', 'nonsmoker', 'non-productive cough', 'polydypsia', 'stiffness', 'unsteady gait']"
106,manic disorder,"['energy increased', 'suicidal', 'hypersomnia', 'feeling suicidal', 'blanch', 'hallucinations auditory', 'hallucinations visual', 'elation', 'verbal auditory hallucinations', 'feeling hopeless', 'difficulty', 'decompensation', 'verbally abusive behavior', 'suicidal', 'feeling suicidal']"
107,thrombocytopaenia,"['ecchymosis', 'monocytosis', 'posterior\xa0rhinorrhea', 'haemorrhage', 'tachypnea', 'fever', 'pruritus', 'hypotension', 'fatigue']"
108,gastroenteritis,"['pain abdominal', 'breath-holding spell', 'nausea', 'decreased body weight', 'sore to touch', 'scleral\xa0icterus', 'fever', 'myalgia', 'hyponatremia', 'retch', 'mass of body structure', 'decreased body weight']"
109,mitral valve insufficiency,"['shortness of breath', 'dyspnea on exertion', 'asymptomatic', 'hypokinesia', 'dyspnea', 'syncope', 'thicken', 'left\xa0atrial\xa0hypertrophy', 'palpitation', 'fatigue', 'vomiting', 'pain', 'cardiomegaly', 'chest discomfort']"
110,dependence,"['intoxication', 'tremor', 'agitation', 'suicidal', 'homelessness', 'prostatism', 'lethargy', 'seizure', 'muscle twitch', 'stuffy nose', 'feeling hopeless', 'heavy legs', 'rale']"
111,glaucoma,"['fall', 'distended abdomen', 'unsteady gait', 'paresthesia', 'hyponatremia', 'agitation', 'unconscious state', 'burning sensation', 'lesion', 'mass of body structure']"
